fpr,tpr
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.998598785614199
1.0,0.9981317141522653
1.0,0.9981317141522653
1.0,0.9962634283045306
1.0,0.9948622139187295
1.0,0.9948622139187295
0.9974424552429667,0.9943951424567959
0.9974424552429667,0.9939280709948622
0.9974424552429667,0.9920597851471276
0.9974424552429667,0.9911256422232602
0.9974424552429667,0.9906585707613265
0.9974424552429667,0.9906585707613265
0.9974424552429667,0.9892573563755255
0.9974424552429667,0.9883232134516581
0.9974424552429667,0.9873890705277908
0.9948849104859335,0.9864549276039234
0.9923273657289002,0.9859878561419897
0.9872122762148338,0.9850537132181224
0.9872122762148338,0.9845866417561887
0.9846547314578005,0.982718355908454
0.9846547314578005,0.9813171415226529
0.9846547314578005,0.9794488556749182
0.9846547314578005,0.9780476412891173
0.9846547314578005,0.9738439981317142
0.9820971867007673,0.9719757122839795
0.979539641943734,0.9687062120504437
0.979539641943734,0.9659037832788416
0.9718670076726342,0.964035497431107
0.9718670076726342,0.9602989257356376
0.9718670076726342,0.9560952825782345
0.9641943734015346,0.9500233535730966
0.9641943734015346,0.9472209248014947
0.9565217391304348,0.9420831387202242
0.9539641943734015,0.9378794955628211
0.948849104859335,0.935077066791219
0.9462915601023018,0.9332087809434844
0.9462915601023018,0.9318075665576834
0.9411764705882353,0.9285380663241476
0.9386189258312021,0.9252685660906118
0.9386189258312021,0.9210649229332087
0.9386189258312021,0.919196637085474
0.9386189258312021,0.9177954226996731
0.9309462915601023,0.9126576366184026
0.928388746803069,0.9061186361513311
0.928388746803069,0.9009808500700607
0.928388746803069,0.8949089210649229
0.9207161125319693,0.8893040635217189
0.9156010230179028,0.8874357776739841
0.9130434782608695,0.8851004203643157
0.9028132992327366,0.883232134516581
0.8925831202046036,0.8771602055114432
0.887468030690537,0.8734236338159739
0.8849104859335039,0.8701541335824381
0.8746803069053708,0.8626809901914994
0.8670076726342711,0.8556749182624942
0.8644501278772379,0.8514712751050911
0.8542199488491049,0.8468005604857544
0.8465473145780051,0.8416627744044839
0.8439897698209718,0.8360579168612797
0.8363171355498721,0.8323213451658104
0.8235294117647058,0.8267164876226063
0.8158567774936062,0.8220457730032695
0.8081841432225064,0.8169079869219991
0.8056265984654731,0.8005604857543204
0.7953964194373402,0.7949556282111163
0.782608695652174,0.7856141989724428
0.7774936061381074,0.780943484353106
0.7749360613810742,0.7772069126576366
0.7723785166240409,0.7678654834189631
0.7672634271099744,0.7561886968706212
0.7544757033248082,0.7459131247080804
0.7468030690537084,0.7347034096216721
0.7365728900255755,0.7248949089210649
0.7289002557544757,0.7169546940681925
0.7212276214833759,0.7076132648295189
0.710997442455243,0.6992059785147128
0.6982097186700768,0.6861279775805699
0.6930946291560103,0.6716487622606259
0.6828644501278772,0.6599719757122839
0.670076726342711,0.6496964035497431
0.6572890025575447,0.6366184026156002
0.6445012787723785,0.6216721158337225
0.629156010230179,0.6034563288183092
0.6138107416879796,0.5861746847267632
0.5754475703324808,0.5674918262494162
0.5601023017902813,0.546006539000467
0.5473145780051151,0.5226529659037833
0.5140664961636828,0.49462867818776274
0.4884910485933504,0.47314339093881363
0.46035805626598464,0.44371788883699204
0.42710997442455245,0.40775338626809904
0.38107416879795397,0.3615133115366651
0.32225063938618925,0.31293787949556284
0.24040920716112532,0.25735637552545537
0.16624040920716113,0.18869687062120505
0.09974424552429667,0.09995329285380664
