Loss,Validation Loss,Accuracy,Validation Accuracy
0.40924665331840515,0.33046042919158936,0.8512179255485535,0.8913902044296265
0.310589462518692,0.29383161664009094,0.8928242325782776,0.8996840715408325
0.2825387418270111,0.2746257483959198,0.9015141725540161,0.9028435945510864
0.26494932174682617,0.261710524559021,0.9044107794761658,0.9060031771659851
0.25207024812698364,0.2505219578742981,0.9079657793045044,0.9087677597999573
0.24070420861244202,0.24160657823085785,0.9120473861694336,0.9154818058013916
0.23175738751888275,0.23480340838432312,0.9136273860931396,0.9178515076637268
0.22384724020957947,0.2275000661611557,0.9166557192802429,0.919036328792572
0.21618697047233582,0.21997420489788055,0.9212639927864075,0.9237756729125977
0.20941373705863953,0.21649980545043945,0.9241606593132019,0.9245655536651611
0.2035054713487625,0.20908962190151215,0.9265305995941162,0.9241706132888794
0.19789688289165497,0.2067141830921173,0.9281105995178223,0.9253554344177246
0.19388216733932495,0.20367617905139923,0.9302172660827637,0.9265402555465698
0.18975450098514557,0.19854186475276947,0.9335088729858398,0.9296998381614685
0.18648937344551086,0.1977352797985077,0.9339038729667664,0.928909957408905
0.1839090883731842,0.19475653767585754,0.9346938729286194,0.9293048977851868
0.18054409325122833,0.19258911907672882,0.9368005394935608,0.9293048977851868
0.17841391265392303,0.19326700270175934,0.9364055395126343,0.930489718914032
0.17644627392292023,0.19017215073108673,0.9395654797554016,0.9332543611526489
0.1741984635591507,0.19173863530158997,0.938248872756958,0.928909957408905
0.17329935729503632,0.1927163302898407,0.9385122060775757,0.9308846592903137
0.17120470106601715,0.19026514887809753,0.9406188130378723,0.9324644804000854
0.16913236677646637,0.18790660798549652,0.9407504796981812,0.9328594207763672
0.1687132716178894,0.18769945204257965,0.9395654797554016,0.9324644804000854
0.1668308675289154,0.18514715135097504,0.9423304796218872,0.9328594207763672
0.16582375764846802,0.18509867787361145,0.9410138130187988,0.9340442419052124
0.1649113893508911,0.1852712482213974,0.9432521462440491,0.9332543611526489
0.16288918256759644,0.18226341903209686,0.9443054795265198,0.9312795996665955
0.16291271150112152,0.1846456527709961,0.9448321461677551,0.9336493015289307
0.16109059751033783,0.18541787564754486,0.9450954794883728,0.9324644804000854
0.16118469834327698,0.18395210802555084,0.9436471462249756,0.9320695400238037
0.15930382907390594,0.18489137291908264,0.945753812789917,0.9316745400428772
0.15857186913490295,0.184739351272583,0.9460171461105347,0.9368088245391846
0.15849924087524414,0.1854744553565979,0.9444371461868286,0.9320695400238037
0.1569465547800064,0.18104194104671478,0.9466754198074341,0.9328594207763672
0.15705150365829468,0.18330134451389313,0.945753812789917,0.9324644804000854
0.15550285577774048,0.18435098230838776,0.9465437531471252,0.9360189437866211
0.15533722937107086,0.18056835234165192,0.9468070864677429,0.9344391822814941
0.15467160940170288,0.18314221501350403,0.9456221461296082,0.9332543611526489
0.15394072234630585,0.18360404670238495,0.9490454196929932,0.9324644804000854
0.15195856988430023,0.17971982061862946,0.9495720863342285,0.9360189437866211
0.15173333883285522,0.184363454580307,0.9469387531280518,0.928909957408905
0.1527155637741089,0.18010297417640686,0.949177086353302,0.9344391822814941
0.15112578868865967,0.1793556958436966,0.948387086391449,0.9336493015289307
0.15027578175067902,0.18099595606327057,0.9498354196548462,0.9344391822814941
0.14967745542526245,0.1826731562614441,0.9478604197502136,0.9344391822814941
0.1490870863199234,0.18263527750968933,0.9508887529373169,0.9332543611526489
0.14822879433631897,0.1832589954137802,0.9485187530517578,0.9332543611526489
0.14772675931453705,0.1815887689590454,0.9495720863342285,0.9368088245391846
0.14736509323120117,0.1813965141773224,0.9511520862579346,0.9356240034103394
0.14651785790920258,0.18322700262069702,0.9518104195594788,0.9320695400238037
0.1464942842721939,0.18498533964157104,0.9515470862388611,0.9324644804000854
0.14564315974712372,0.18332964181900024,0.9528637528419495,0.9312795996665955
0.14590898156166077,0.18256618082523346,0.9498354196548462,0.9328594207763672
0.14483694732189178,0.18006613850593567,0.9522054195404053,0.9344391822814941
0.14438854157924652,0.1863371580839157,0.952468752861023,0.930489718914032
0.14341266453266144,0.18031597137451172,0.9531270861625671,0.9324644804000854
0.14272718131542206,0.18506896495819092,0.9523370862007141,0.9320695400238037
0.14367437362670898,0.1818176954984665,0.9519420862197876,0.9332543611526489
0.14284160733222961,0.18328553438186646,0.9520737528800964,0.9324644804000854
0.14125947654247284,0.1826871633529663,0.9528637528419495,0.9336493015289307
0.14118391275405884,0.18653935194015503,0.9526004195213318,0.9312795996665955
0.14129023253917694,0.18167899549007416,0.9520737528800964,0.9332543611526489
0.14026957750320435,0.18461456894874573,0.9535220265388489,0.9308846592903137
0.14106227457523346,0.18275140225887299,0.9520737528800964,0.9332543611526489
0.14028266072273254,0.18266870081424713,0.9537853598594666,0.9312795996665955
0.13953275978565216,0.18309885263442993,0.9527320861816406,0.9328594207763672
0.13854260742664337,0.18211574852466583,0.9545753598213196,0.9312795996665955
0.13787920773029327,0.1850470006465912,0.9552336931228638,0.9316745400428772
0.13797920942306519,0.18072509765625,0.9535220265388489,0.9348341226577759
0.13801270723342896,0.1844199001789093,0.9537853598594666,0.9324644804000854
0.1391362100839615,0.1834060698747635,0.9529954195022583,0.9316745400428772
0.13724620640277863,0.18658582866191864,0.9548386931419373,0.9293048977851868
0.13666294515132904,0.1850067526102066,0.9536536931991577,0.9344391822814941
0.13599444925785065,0.1869712769985199,0.9560236930847168,0.9296998381614685
0.13605985045433044,0.180586576461792,0.9545753598213196,0.9364138841629028
0.13573098182678223,0.182944655418396,0.9560236930847168,0.9352290630340576
0.1344938725233078,0.18503516912460327,0.9549703598022461,0.9308846592903137
0.13444964587688446,0.1875046342611313,0.957472026348114,0.9312795996665955
0.13665218651294708,0.1846553534269333,0.9549703598022461,0.9312795996665955
0.13484804332256317,0.18613050878047943,0.9553653597831726,0.9344391822814941
0.13354641199111938,0.18906322121620178,0.956682026386261,0.9293048977851868
0.13391008973121643,0.1846972554922104,0.9547070264816284,0.9344391822814941
0.13342297077178955,0.18880100548267365,0.9552336931228638,0.9324644804000854
0.13274742662906647,0.18527276813983917,0.9570770263671875,0.9308846592903137
0.13381381332874298,0.18344025313854218,0.9535220265388489,0.9344391822814941
0.13269133865833282,0.1832830011844635,0.9553653597831726,0.9328594207763672
0.132172629237175,0.18478339910507202,0.9585253596305847,0.9360189437866211
0.1322009563446045,0.185328871011734,0.9562870264053345,0.9352290630340576
0.13174843788146973,0.18720580637454987,0.9561553597450256,0.9296998381614685
0.13117733597755432,0.18787513673305511,0.9564186930656433,0.9336493015289307
0.13168780505657196,0.1867174506187439,0.9568136930465698,0.9316745400428772
0.13001252710819244,0.19003252685070038,0.9585253596305847,0.9316745400428772
0.1309887319803238,0.18644456565380096,0.9564186930656433,0.9328594207763672
0.13027964532375336,0.1874711960554123,0.9572086930274963,0.9368088245391846
0.13035878539085388,0.18970069289207458,0.9578670263290405,0.9308846592903137
0.1292724311351776,0.18318217992782593,0.9577353596687317,0.9340442419052124
0.12919838726520538,0.19068162143230438,0.9583936929702759,0.9348341226577759
0.12882684171199799,0.18487533926963806,0.9581303596496582,0.9344391822814941
0.12958037853240967,0.1896616816520691,0.9586570262908936,0.9328594207763672
